title;price;old_price;link;img
STRIPED DENIM OVERALLS;29.90 USD;;https://www.zara.com/us/en/striped-denim-overalls-p08367501.html;https://static.zara.net/photos///2022/I/0/3/p/8367/501/406/202/w/563/8367501406_1_1_1.jpg?ts=1653481425836
TEXTURED RUFFLED TOP;22.90 USD;;https://www.zara.com/us/en/textured-ruffled-top-p01639004.html;https://static.zara.net/photos///2022/I/0/3/p/8574/522/400/2/w/563/8574522400_6_1_1.jpg?ts=1652277214184
STRIPED DENIM SHORTS;25.90 USD;;https://www.zara.com/us/en/striped-denim-shorts-p02740504.html;https://static.zara.net/photos///2022/I/0/3/p/2740/504/406/203/w/563/2740504406_1_1_1.jpg?ts=1653481425549
LACE TRIM SLIP STITCH TOP;9.90 USD;;https://www.zara.com/us/en/lace-trim-slip-stitch-top-p05048301.html;https://static.zara.net/photos///2022/V/0/3/p/5048/301/611/282/w/563/5048301611_6_1_1.jpg?ts=1653637137992
EMBROIDERED RIB T-SHIRT;10.90 USD;;https://www.zara.com/us/en/embroidered-rib-t-shirt-p00722335.html;https://static.zara.net/photos///2022/I/0/3/p/0722/335/251/202/w/563/0722335251_1_1_1.jpg?ts=1653481425654
BABY/ LABEL TWILL BUCKET HAT;17.90 USD;;https://www.zara.com/us/en/baby--label-twill-bucket-hat-p00653544.html;https://static.zara.net/photos///2022/V/0/3/p/0653/544/916/2/w/563/0653544916_6_1_1.jpg?ts=1650371090294
LINEN BLEND SASH SHORTS;25.90 USD;;https://www.zara.com/us/en/linen-blend-sash-shorts-p06047353.html;https://static.zara.net/photos///2022/I/0/3/p/6047/353/926/202/w/563/6047353926_1_1_1.jpg?ts=1652960112991
PRINTED SHIRT;25.90 USD;;https://www.zara.com/us/en/printed-shirt-p06067108.html;https://static.zara.net/photos///2022/I/0/3/p/6067/108/620/202/w/563/6067108620_1_1_1.jpg?ts=1652960112488
PRINTED SHIRT;25.90 USD;;https://www.zara.com/us/en/printed-shirt-p06067109.html;https://static.zara.net/photos///2022/I/0/3/p/6067/109/630/202/w/563/6067109630_1_1_1.jpg?ts=1653984580694
SMILEYWORLD ® HAPPY COLLECTION T-SHIRT;17.90 USD;;https://www.zara.com/us/en/smileyworld---happy-collection-t-shirt-p00377542.html;https://static.zara.net/photos///2022/V/0/3/p/0377/542/402/402/w/563/0377542402_1_1_1.jpg?ts=1652084252535
MICKEY MOUSE © DISNEY T-SHIRT;17.90 USD;;https://www.zara.com/us/en/mickey-mouse---disney-t-shirt-p00377501.html;https://static.zara.net/photos///2022/I/0/3/p/0377/501/620/403/w/563/0377501620_1_1_1.jpg?ts=1653910252801
ROUND SUNGLASSES;17.90 USD;;https://www.zara.com/us/en/round-sunglasses-p00475693.html;https://static.zara.net/photos///2022/V/0/3/p/0475/693/914/2/w/563/0475693914_6_1_1.jpg?ts=1649419119461
MICKEY MOUSE © DISNEY T-SHIRT;17.90 USD;;https://www.zara.com/us/en/mickey-mouse---disney-t-shirt-p00377550.html;https://static.zara.net/photos///2022/I/0/3/p/0377/550/250/2/w/563/0377550250_6_1_1.jpg?ts=1653491435162
MICKEY MOUSE © DISNEY T-SHIRT;17.90 USD;;https://www.zara.com/us/en/mickey-mouse---disney-t-shirt-p00377543.html;https://static.zara.net/photos///2022/V/0/3/p/0377/543/300/2/w/563/0377543300_6_1_1.jpg?ts=1651734355120
RUFFLED LABEL BOMBER;32.90 USD;;https://www.zara.com/us/en/ruffled-label-bomber-p06208504.html;https://static.zara.net/photos///2022/I/0/3/p/6208/504/420/2/w/563/6208504420_6_1_1.jpg?ts=1654007921599
COLORFUL DISC NECKLACE;9.90 USD;;https://www.zara.com/us/en/colorful-disc-necklace-p07243693.html;https://static.zara.net/photos///2022/V/0/3/p/7243/693/250/2/w/563/7243693250_6_1_1.jpg?ts=1650982765625
KIDS/ SHIMMERY KAFTAN WITH TASSELS;29.90 USD;;https://www.zara.com/us/en/kids--shimmery-kaftan-with-tassels-p04493648.html;https://static.zara.net/photos///2022/V/0/3/p/4493/648/330/2/w/563/4493648330_6_1_1.jpg?ts=1652195537287
BABY/ FLORAL JACQUARD SWIMSUIT;22.90 USD;;https://www.zara.com/us/en/baby--floral-jacquard-swimsuit-p03391545.html;https://static.zara.net/photos///2022/V/0/3/p/3391/545/630/2/w/563/3391545630_6_1_1.jpg?ts=1649664203948
BABY/ WATERMELON SWIMSUIT;22.90 USD;;https://www.zara.com/us/en/baby--watermelon-swimsuit-p05644445.html;https://static.zara.net/photos///2022/V/0/3/p/5644/445/615/403/w/563/5644445615_1_1_1.jpg?ts=1651156946517
BABY/ SUNS SWIMMING MAILLOT;25.90 USD;;https://www.zara.com/us/en/baby--suns-swimming-maillot-p06668529.html;https://static.zara.net/photos///2022/V/0/3/p/6668/529/300/2/w/563/6668529300_6_1_1.jpg?ts=1652431779393
EDITED;17.90 USD;;https://www.zara.com/us/en/baby--label-twill-bucket-hat-p00653544.html;https://static.zara.net/photos///2022/V/0/3/p/0653/544/916/2/w/563/0653544916_6_1_1.jpg?ts=1650371090294
BABY/ MERMAID SWIMSUIT;22.90 USD;;https://www.zara.com/us/en/baby--mermaid-swimsuit-p06668531.html;https://static.zara.net/photos///2022/V/0/3/p/6668/531/612/2/w/563/6668531612_6_1_1.jpg?ts=1651830563538
KIDS/ GEOMETRICAL PALM TREE BIKINI;25.90 USD;;https://www.zara.com/us/en/kids--geometrical-palm-tree-bikini-p06668626.html;https://static.zara.net/photos///2022/V/0/3/p/6668/626/630/103/w/563/6668626630_1_1_1.jpg?ts=1651156945667
BABY/ CHECKERED SWIMSUIT;22.90 USD;;https://www.zara.com/us/en/baby--checkered-swimsuit-p05992544.html;https://static.zara.net/photos///2022/V/0/3/p/5992/544/615/2/w/563/5992544615_6_1_1.jpg?ts=1649754339195
BABY/ SUNS SWIMSUIT;22.90 USD;;https://www.zara.com/us/en/baby--suns-swimsuit-p06668530.html;https://static.zara.net/photos///2022/V/0/3/p/6668/530/615/2/w/563/6668530615_6_1_1.jpg?ts=1652431779431
KIDS/ “CALIFORNIA” MESH CAP;15.90 USD;;https://www.zara.com/us/en/kids---california--mesh-cap-p00620696.html;https://static.zara.net/photos///2022/I/0/3/p/0620/696/615/2/w/563/0620696615_6_1_1.jpg?ts=1654013826011
BABY/ “CALIFORNIA” MESH CAP;15.90 USD;;https://www.zara.com/us/en/baby---california--mesh-cap-p00620547.html;https://static.zara.net/photos///2022/I/0/3/p/0620/547/615/2/w/563/0620547615_6_1_1.jpg?ts=1654013830650
PRINTED GLASSES AND MASK CORD;8.90 USD;;https://www.zara.com/us/en/printed-glasses-and-mask-cord-p07243695.html;https://static.zara.net/photos///2022/V/0/3/p/7243/695/400/2/w/563/7243695400_6_1_1.jpg?ts=1652256915959
SHOP THE LOOK;49.90 USD - 999.00 USD;;https://www.zara.com/us/en/shop-the-look-pG49301073800000.html;https://static.zara.net/photos///2022/I/G/1/p/9301/073/800/2/w/563/9301073800_1_1_1.jpg?ts=1653399412873
METAL ARMCHAIR;499.00 USD;;https://www.zara.com/us/en/metal-armchair-p49301073.html;https://static.zara.net/photos///2022/I/4/1/p/9301/073/800/2/w/563/9301073800_6_1_1.jpg?ts=1651066240931
LINEN BEACH TOWEL;39.90 USD;;https://www.zara.com/us/en/linen-beach-towel-p46566013.html;https://static.zara.net/photos///2022/V/4/1/p/6566/013/400/2/w/563/6566013400_6_1_1.jpg?ts=1650976374113
Jute basket bag;59.90 USD;;https://www.zara.com/us/en/jute-basket-bag-p14002900.html;https://static.zara.net/photos///2022/V/1/1/p/4002/900/111/2/w/563/4002900111_6_1_1.jpg?ts=1649152147340
